2024-06-16 01:12:22.007; INFO; User Session Manager; 10988; 8044] OnPowerChange Start
2024-06-16 01:12:22.008; INFO; User Session Manager; 10988; 8044] OnPowerChange dwEventType=10, lpEventData=0000000000000000
2024-06-16 01:12:22.008; INFO; User Session Manager; 10988; 8044] OnPowerChange End
2024-06-16 01:12:22.008; INFO; Utility Plugin; 10988; 16504] [OnPowerChange] Begin
2024-06-16 01:12:22.008; INFO; Utility Plugin; 10988; 16504] [OnPowerChange] Event: 10 
2024-06-16 01:12:22.010; WARNING; Aura Pluing; 10988; 14044] [AuraListener] ARMOURY/POWER ON/OFF Idle RESUME
2024-06-16 01:12:22.011; INFO; User Session Manager; 10988; 8044] OnPowerChange Start
2024-06-16 01:12:22.011; INFO; User Session Manager; 10988; 8044] OnPowerChange dwEventType=32787, lpEventData=00000269FBA579B0
2024-06-16 01:12:22.011; INFO; User Session Manager; 10988; 8044] OnPowerChange End
2024-06-16 01:12:22.011; INFO; Utility Plugin; 10988; 16504] [OnPowerChange] Begin
2024-06-16 01:12:22.011; INFO; Utility Plugin; 10988; 16504] [OnPowerChange] Event: 32787 
2024-06-16 01:12:22.011; INFO; Utility Plugin; 10988; 16504] [OnPowerChange] PBT_POWERSETTINGCHANGE
2024-06-16 01:12:22.014; INFO; Aura Pluing; 10988; 7196] [AuraPlugin][isConnectedStandby] in
2024-06-16 01:12:22.014; INFO; Aura Pluing; 10988; 7196] [AuraPlugin][isConnectedStandby] ROGServiceInfo.LightingServiceSupportModernStandbyNotify: 1
2024-06-16 01:12:22.014; INFO; Aura Pluing; 10988; 7196] [AuraPlugin][isConnectedStandby] PBT_APMRESUMEAUTOMATIC In
2024-06-16 01:12:22.015; INFO; User Session Manager; 10988; 2920] OnPowerChange Start
2024-06-16 01:12:22.015; INFO; User Session Manager; 10988; 2920] OnPowerChange dwEventType=18, lpEventData=0000000000000000
2024-06-16 01:12:22.015; INFO; GameBoxPlugIn; 10988; 13608] CallLibrary Start
2024-06-16 01:12:22.017; INFO; User Session Manager; 10988; 2920] OnPowerChange End
2024-06-16 01:12:22.018; INFO; Utility Plugin; 10988; 16504] [OnPowerChange] Begin
2024-06-16 01:12:22.018; INFO; Utility Plugin; 10988; 16504] [OnPowerChange] Event: 18 
2024-06-16 01:12:22.018; INFO; Utility Plugin; 10988; 16504] [OnPowerChange] PBT_APMRESUMEAUTOMATIC
2024-06-16 01:12:22.030; INFO; User Session Manager; 10988; 20416] OnPowerChange Start
2024-06-16 01:12:22.030; INFO; User Session Manager; 10988; 20416] OnPowerChange dwEventType=7, lpEventData=0000000000000000
2024-06-16 01:12:22.030; INFO; Utility Plugin; 10988; 16504] [OnPowerChange] Begin
2024-06-16 01:12:22.030; INFO; Utility Plugin; 10988; 16504] [OnPowerChange] Event: 7 
2024-06-16 01:12:22.030; INFO; Utility Plugin; 10988; 16504] [OnPowerChange] PBT_APMRESUMESUSPEND
2024-06-16 01:12:22.030; INFO; User Session Manager; 10988; 20416] OnPowerChange End
2024-06-16 01:12:22.325; INFO; Aura Pluing; 10988; 14044] CallLibrary Start
2024-06-16 01:12:22.325; INFO; ScenarioProfilePlugIn; 10988; 14044] ProcessRequest : ScenarioProfileReceiveServiceMessage
2024-06-16 01:12:22.325; INFO; ScenarioProfilePlugIn; 10988; 14044] (CLR_SetCacheXml) AppTag : AURA_Sync, GUID : {6AD2878E-6F59-4F34-BEE4-3F5A994A006D}, Mode : 1, ModeKey : 1, Type : Service_App
2024-06-16 01:12:22.339; INFO; Aura Pluing; 10988; 14044] CallLibrary End
2024-06-16 01:12:22.579; WARNING; Aura Pluing; 10988; 14044] [AuraListener] <BATTERY_PERCENTAGE_REMAINING>
2024-06-16 01:12:22.760; INFO; AEF Core; 10988; 5892] Enter GetPacket loop - ConsoleBackground.
2024-06-16 01:12:22.762; INFO; Loopback Stream; 10988; 8320] CallLibrary Start
2024-06-16 01:12:22.762; INFO; GameBoxPlugIn; 10988; 8320] CallLibrary Start
2024-06-16 01:12:22.762; INFO; GameBoxPlugIn; 10988; 8320] CallLibrary End
2024-06-16 01:12:22.762; INFO; GameBoxPlugIn; 10988; 8320] CallLibrary Start
2024-06-16 01:12:22.768; INFO; GameBoxPlugIn; 10988; 8320] CallLibrary End
2024-06-16 01:12:22.768; WARNING; GameBoxPlugIn; 10988; 8320] class CAEFPluginSample::LogWriteLine [DevicesQueryHandler] GetRegString RegOpenKeyEx Fail: 0
2024-06-16 01:12:22.768; INFO; GameBoxPlugIn; 10988; 8320] CallLibrary Start
2024-06-16 01:12:22.768; INFO; GameBoxPlugIn; 10988; 8320] CallLibrary End
2024-06-16 01:12:22.768; INFO; GameBoxPlugIn; 10988; 8320] GetAsusDeviceList: Count=1
2024-06-16 01:12:22.768; INFO; GameBoxPlugIn; 10988; 8320] GetAsusDeviceList: no contain PPID
2024-06-16 01:12:22.768; INFO; GameBoxPlugIn; 10988; 8320] GetAsusDeviceList: no contain SN
2024-06-16 01:12:22.768; INFO; GameBoxPlugIn; 10988; 8320] GetAsusDeviceList: name=GU603HE, type=64, ppid=, sn=
2024-06-16 01:12:22.768; INFO; GameBoxPlugIn; 10988; 8320] class CAEFPluginSample::LogWriteLine [DevicesQueryHandler] GetAsusDeviceInformation: no device availiable.
2024-06-16 01:12:22.768; INFO; Loopback Stream; 10988; 8320] CallLibrary End
2024-06-16 01:12:22.824; INFO; Loopback Stream; 10988; 16464] CallLibrary Start
2024-06-16 01:12:22.824; INFO; GameBoxPlugIn; 10988; 16464] CallLibrary Start
2024-06-16 01:12:22.824; INFO; GameBoxPlugIn; 10988; 16464] CallLibrary End
2024-06-16 01:12:22.824; INFO; GameBoxPlugIn; 10988; 16464] CallLibrary Start
2024-06-16 01:12:22.828; INFO; GameBoxPlugIn; 10988; 16464] CallLibrary End
2024-06-16 01:12:22.828; WARNING; GameBoxPlugIn; 10988; 16464] class CAEFPluginSample::LogWriteLine [DevicesQueryHandler] GetRegString RegOpenKeyEx Fail: 0
2024-06-16 01:12:22.828; INFO; GameBoxPlugIn; 10988; 16464] CallLibrary Start
2024-06-16 01:12:22.828; INFO; GameBoxPlugIn; 10988; 16464] CallLibrary End
2024-06-16 01:12:22.828; INFO; GameBoxPlugIn; 10988; 16464] GetAsusDeviceList: Count=1
2024-06-16 01:12:22.828; INFO; GameBoxPlugIn; 10988; 16464] GetAsusDeviceList: no contain PPID
2024-06-16 01:12:22.828; INFO; GameBoxPlugIn; 10988; 16464] GetAsusDeviceList: no contain SN
2024-06-16 01:12:22.828; INFO; GameBoxPlugIn; 10988; 16464] GetAsusDeviceList: name=GU603HE, type=64, ppid=, sn=
2024-06-16 01:12:22.828; INFO; GameBoxPlugIn; 10988; 16464] class CAEFPluginSample::LogWriteLine [DevicesQueryHandler] GetAsusDeviceInformation: no device availiable.
2024-06-16 01:12:22.828; INFO; Loopback Stream; 10988; 16464] CallLibrary End
2024-06-16 01:12:22.875; INFO; Loopback Stream; 10988; 15108] CallLibrary Start
2024-06-16 01:12:22.875; INFO; Loopback Stream; 10988; 15108] CallLibrary End
2024-06-16 01:12:22.890; INFO; GameBoxPlugIn; 10988; 13608] CallLibrary End
2024-06-16 01:12:22.890; INFO; GameBoxPlugIn; 10988; 13608] DoPromotion : S_OK
2024-06-16 01:12:23.075; INFO; Aura Pluing; 10988; 7196] [AuraPlugin][isConnectedStandby] PBT_APMRESUMEAUTOMATIC Out
2024-06-16 01:12:23.075; INFO; Aura Pluing; 10988; 7196] [AuraPlugin][isConnectedStandby] out
