2024-06-17 00:41:29.267; WARNING; AEF Core; 10988; 24256] Read packet failed from ConsoleBackground.
2024-06-17 00:41:29.267; INFO; AEF Core; 10988; 24256] Leave GetPacket loop - ConsoleBackground.
2024-06-17 00:41:29.267; INFO; User Session Manager; 10988; 8044] OnSessionChange Start
2024-06-17 00:41:29.267; ERROR; DeviceServicePlugin; 10988; 13748] [DeviceServicePlugin] UserSession:1, OnSessionChange: Event:7
2024-06-17 00:41:29.267; ERROR; Mobile Plugin; 10988; 16076] UserSession:1, OnSessionChange: Event:7
2024-06-17 00:41:29.267; INFO; User Session Manager; 10988; 8044] OnSessionChange End
2024-06-17 00:41:29.267; ERROR; AC_FDSPlugIn; 10988; 12612] UserSession:1, OnSessionChange: Event:7
2024-06-17 00:41:29.267; ERROR; Free Up Memory Plugin; 10988; 14200] UserSession:1, OnSessionChange: Event:7
2024-06-17 00:41:29.267; INFO; DenoiseAI Pluing; 10988; 14216] [DenoiseAI] UserSession:1, OnSessionChange: Event:7
2024-06-17 00:41:29.267; INFO; ScenarioProfilePlugIn; 10988; 16440] UserSession:1, OnSessionChange: Event:7
2024-06-17 00:41:29.267; ERROR; Virtual Drive Plugin; 10988; 16628] UserSession:1, OnSessionChange: Event:7
2024-06-17 00:41:29.268; ERROR; GameBoxPlugIn; 10988; 13608] UserSession:1, OnSessionChange: Event:7
2024-06-17 00:41:29.268; INFO; ACStore Plugin; 10988; 13720] OnSessionChange(): Type = 7
2024-06-17 00:41:29.268; ERROR; GameLibrary Pluing; 10988; 14308] UserSession:1, OnSessionChange: Event:7
2024-06-17 00:41:29.268; ERROR; GPU Power Saving Plugin ; 10988; 12916] UserSession:1, OnSessionChange: Event:7
2024-06-17 00:41:29.268; ERROR; WebSocketClientPlugin; 10988; 16480] UserSession:1, OnSessionChange: Event:7
2024-06-17 00:41:29.273; INFO; Aura Pluing; 10988; 7832] [AuraPlugin][isConnectedStandby] in
2024-06-17 00:41:29.273; INFO; Aura Pluing; 10988; 7832] [AuraPlugin][isConnectedStandby] ROGServiceInfo.LightingServiceSupportModernStandbyNotify: 1
2024-06-17 00:41:29.273; INFO; Aura Pluing; 10988; 7832] [AuraPlugin][isConnectedStandby] PBT_APMRESUMEAUTOMATIC In
2024-06-17 00:41:29.273; INFO; User Session Manager; 10988; 8324] OnPowerChange Start
2024-06-17 00:41:29.273; INFO; User Session Manager; 10988; 8324] OnPowerChange dwEventType=18, lpEventData=0000000000000000
2024-06-17 00:41:29.274; INFO; Utility Plugin; 10988; 16504] [OnPowerChange] Begin
2024-06-17 00:41:29.274; INFO; Utility Plugin; 10988; 16504] [OnPowerChange] Event: 18 
2024-06-17 00:41:29.274; INFO; Utility Plugin; 10988; 16504] [OnPowerChange] PBT_APMRESUMEAUTOMATIC
2024-06-17 00:41:29.274; INFO; User Session Manager; 10988; 8324] OnPowerChange End
2024-06-17 00:41:29.274; INFO; User Session Manager; 10988; 120] OnPowerChange Start
